namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
"АО ""Дальневосточный банк""",RU,05,690990,г,Владивосток,"ул Верхнепортовая, 27 А",1994-01-20,20,5,1,0507705000,PSAC,843,,Far Eastern Bank
"ПАО СКБ Приморья ""Примсоцбанк""",RU,05,690106,г,Владивосток,"Партизанский пр-т, 44",1994-05-01,20,5,1,0507803000,PSAC,2733,,"Public Joint-Stock Social Commercial Bank of Primorye ""Primsotsbank""; PJS SCBP ""Primsotsbank"""
"ООО ""Примтеркомбанк""",RU,05,690091,г,Владивосток,"ул Семёновская, 6 Г",1994-01-20,20,3,1,0507717000,PSAC,21,,"""Primorsky territorial commercial bank, (Society with limited liability)""; ""Primtercombank"""
"АО КБ ""САММИТ БАНК""",RU,05,690106,г,Владивосток,"пр-т Красного Знамени, 3",2015-04-24,20,3,1,0507840000,PSAC,85,,
"СМФ АО ""СМП БАНК""",RU,36,443096,г,Самара,"ул Мичурина, 46",2012-10-11,30,3,1,3601701000,PSAC,3368/12,044525503,
"ФИЛИАЛ ""ЕКАТЕРИНБУРГСКИЙ"" АО ""АЛЬФА-БАНК""",RU,65,620000,г,Екатеринбург,"ул Горького, 7-а",1999-06-11,30,3,1,6577964000,PSAC,1326/6,044525593,
"КУ КБ ""Русский ипотечный банк"" (ООО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525526000,PSAC,1968,,
"КУ АО ""ФОРУС БАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2017-03-28,90,1,0,2202720000,PSAC,3457,,
"""Вэйбанк"" АО",RU,45,115184,г,Москва,"улица Пятницкая, дом 57 строение 1",1994-11-25,20,3,1,4525453000,PSAC,3095,,
"ГК ""АСВ"" - КУ БАНК ""БОГОРОДСКИЙ"" (ООО)",RU,45,109240,г,Москва,"ул Высоцкого, 4",2016-06-16,90,1,0,2202733000,PSAC,1277,,
"КУ ПАО НКБ ""РАДИОТЕХБАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",1994-01-20,90,1,0,2202773000,PSAC,1166,,
избирательная комиссия Нижегородской области,RU,22,603082,г,Нижний Новгород,"Кремль, к 2",2010-04-12,99,1,0,2202001003,PSAC,,,
"КУ КБ ""АНТАЛБАНК"" ООО - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2016-01-27,90,1,0,4525621000,PSAC,3115,,
"КУ ООО КБ ""ОГНИ МОСКВЫ"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2014-07-11,90,1,0,4525592000,PSAC,2328,,
"КУ ОАО МКБ ""ЗАМОСКВОРЕЦКИЙ"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2014-09-23,90,1,0,4525636000,PSAC,1640,,
"КУ ""НАЦКОРПБАНК"" (АО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2016-06-24,90,1,0,4525653000,PSAC,3422,,
"КУ БАНК ""СОЛИДАРНОСТЬ"" АО - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2018-05-07,90,1,0,4525664000,PSAC,1555,,
ИКМО,RU,45,143407,г,Красногорск,"б-р Строителей, д. 1",2016-05-13,99,1,0,4525000169,PSAC,,,
"КУ АБ ""БПФ"" (ЗАО)-ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2014-02-11,90,1,0,4525672000,PSAC,1677,,
Мосгоризбирком,RU,45,125032,г,Москва,"ул Тверская, 13",2016-06-01,99,1,0,4525000096,PSAC,,,
РНФ,RU,45,109992,г,Москва,"ул. Солянка, дом 14, строение 3",2016-05-26,99,1,0,4525000094,PSAC,,,
ФПИ,RU,45,121059,г,Москва,"Бережковская наб., д. 22, стр. 3",2016-05-13,99,1,0,4525000091,PSAC,,,
"""Банк Стрела"" АО",RU,45,117587,г,Москва,"Варшавское шоссе, дом 118, корп. 1",2023-09-20,20,3,1,4525809000,PSAC,2152,,
"СЕВАСТОПОЛЬСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""",RU,67,299011,г,Севастополь,"пр-кт Нахимова, д.1",2022-10-05,30,3,1,6711119000,PSAC,3251/55,044525555,
"СИБИРСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""",RU,50,630099,г,Новосибирск,"ул Серебренниковская, 37 А",2000-11-17,30,3,1,5004816000,PSAC,3251/4,044525555,
"Луганский ф-л ПАО ""Промсвязьбанк""",RU,43,291016,г,Луганск,"площадь Героев Великой Отечественной войны, д. 4",2023-01-04,30,3,1,4371122000,PSAC,3251/53,044525555,
