namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
ОТДЕЛЕНИЕ ИРКУТСК БАНКА РОССИИ,,25,664025,г,Иркутск,"ул Ленина, 16",1994-01-20,12,3,1,2520001000,PSAC,,045004001,
ОТДЕЛЕНИЕ КАЛИНИНГРАД БАНКА РОССИИ,,27,236022,г,Калининград,"ул Шиллера, 2",1994-01-20,12,3,1,2748001000,PSAC,,044030001,
ОТДЕЛЕНИЕ КАЛУГА БАНКА РОССИИ,,29,248001,г,Калуга,"ул Ленина, 76",1994-01-20,12,3,1,2908001000,PSAC,,044525000,
ОТДЕЛЕНИЕ КЕМЕРОВО БАНКА РОССИИ,,32,650000,г,Кемерово,"ул Кирова, 12",1994-01-20,12,3,1,3207001000,PSAC,,045004001,
ОТДЕЛЕНИЕ КИРОВ БАНКА РОССИИ,,33,610000,г,Киров,"ул Спасская, 27",1994-01-20,12,3,1,3304001000,PSAC,,042202001,
ОТДЕЛЕНИЕ КУРСК БАНКА РОССИИ,,38,305000,г,Курск,"ул Горького, 31/8",1994-01-20,12,3,1,3807001000,PSAC,,044525000,
ОТДЕЛЕНИЕ ЛИПЕЦК БАНКА РОССИИ,,42,398000,г,Липецк,"пл Плеханова, 4",1994-01-20,12,3,1,4206001000,PSAC,,044525000,
ОТДЕЛЕНИЕ МАГАДАН БАНКА РОССИИ,,44,685000,г,Магадан,"ул Пушкина, 4",1994-01-20,12,3,1,4442001000,PSAC,,040507001,
ОТДЕЛЕНИЕ МУРМАНСК БАНКА РОССИИ,,47,183038,г,Мурманск,"ул Профсоюзов, 11",1994-01-20,12,3,1,4705001000,PSAC,,044030001,
ОТДЕЛЕНИЕ НОВГОРОД БАНКА РОССИИ,,49,173000,г,Великий Новгород,"ул Славная, 33",1994-01-20,12,3,1,4959001000,PSAC,,044030001,
ОТДЕЛЕНИЕ ОМСК БАНКА РОССИИ,,52,644099,г,Омск,"Банковский пер, 1",1994-01-20,12,3,1,5209001000,PSAC,,045004001,
ОТДЕЛЕНИЕ ОРЕЛ БАНКА РОССИИ,,54,302001,г,Орёл,"ул Гостиная, 6",1994-01-20,12,3,1,5402001000,PSAC,,044525000,
ОТДЕЛЕНИЕ ПЕНЗА БАНКА РОССИИ,,56,440000,г,Пенза,"ул Кирова, 62",1994-01-20,12,3,1,5655001000,PSAC,,042202001,
ОТДЕЛЕНИЕ ПЕРМЬ БАНКА РОССИИ,,57,614000,г,Пермь,"ул Осинская, 12",1994-01-20,12,3,1,5773001000,PSAC,,046577001,
ОТДЕЛЕНИЕ ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ БАНКА РОССИИ,,30,683031,г,Петропавловск-Камчатский,"Пр-т Карла Маркса, дом 29/2",1994-01-20,12,3,1,3002001000,PSAC,,040507001,
ОТДЕЛЕНИЕ ПСКОВ БАНКА РОССИИ,,58,180000,г,Псков,"Октябрьский пр-т, 8",1994-01-20,12,3,1,5805001000,PSAC,,044030001,
ОТДЕЛЕНИЕ РЕСПУБЛИКА КРЫМ БАНКА РОССИИ,,35,295011,г,Симферополь,"ул Сергеева-Ценского, 12/4",2014-04-07,12,3,1,3510001000,PSAC,,040349001,
ОТДЕЛЕНИЕ РОСТОВ-НА-ДОНУ БАНКА РОССИИ,,60,344006,г,Ростов-на-Дону,"пр-т Соколова, 22 А",1994-01-20,12,3,1,6015001000,PSAC,,040349001,
ОТДЕЛЕНИЕ РЯЗАНЬ БАНКА РОССИИ,,61,390000,г,Рязань,"ул Соборная, 20",1994-01-20,12,3,1,6126001000,PSAC,,044525000,
ОТДЕЛЕНИЕ САМАРА БАНКА РОССИИ,,36,443010,г,Самара,"Волжский пр-т, 3",1994-01-20,12,3,1,3601001000,PSAC,,042202001,
ОТДЕЛЕНИЕ СЕВАСТОПОЛЬ БАНКА РОССИИ,,67,299001,г,Севастополь,"ул Михаила Дзигунского, 1/3",2014-04-07,12,3,1,6711001000,PSAC,,040349001,
ОТДЕЛЕНИЕ СМОЛЕНСК БАНКА РОССИИ,,66,214000,г,Смоленск,"ул Б. Советская, 41/18",1994-01-20,12,3,1,6614001000,PSAC,,044525000,
ОТДЕЛЕНИЕ СТАВРОПОЛЬ БАНКА РОССИИ,,07,355035,г,Ставрополь,"ул Ленина, 286",1994-01-20,12,3,1,0702001000,PSAC,,040349001,
ОТДЕЛЕНИЕ ТАМБОВ БАНКА РОССИИ,,68,392000,г,Тамбов,"ул Октябрьская, 7",1994-01-20,12,3,1,6850001000,PSAC,,044525000,
ОТДЕЛЕНИЕ ТВЕРЬ БАНКА РОССИИ,,28,170100,г,Тверь,"ул Советская, 13",1994-01-20,12,3,1,2809001000,PSAC,,044525000,
ОТДЕЛЕНИЕ ТОМСК БАНКА РОССИИ,,69,634041,г,Томск,"Комсомольский пр-т, 68",1994-01-20,12,3,1,6902001000,PSAC,,045004001,
ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ,,70,300041,г,Тула,"ул Советская, 88",1994-01-20,12,3,1,7003001000,PSAC,,044525000,
ОТДЕЛЕНИЕ ТЮМЕНЬ БАНКА РОССИИ,,71,625000,г,Тюмень,"ул Володарского, 48",1994-01-20,12,3,1,7102001000,PSAC,,046577001,
ОТДЕЛЕНИЕ ХАБАРОВСК БАНКА РОССИИ,,08,680042,г,Хабаровск,"ул Воронежская, 154",1994-01-20,12,3,1,0813001000,PSAC,,040507001,
ОТДЕЛЕНИЕ ЧЕЛЯБИНСК БАНКА РОССИИ,,75,454000,г,Челябинск,"пр-т Ленина, 58",1994-01-20,12,3,1,7501001000,PSAC,,046577001,
ОТДЕЛЕНИЕ ЧИТА БАНКА РОССИИ,,76,672000,г,Чита,"ул Анохина, 74",1994-01-20,12,3,1,7601001000,PSAC,,045004001,
ОТДЕЛЕНИЕ ЮЖНО-САХАЛИНСК БАНКА РОССИИ,,64,693020,г,Южно-Сахалинск,"Коммунистический пр-т, 47",1994-01-20,12,3,1,6401001000,PSAC,,040507001,
ОТДЕЛЕНИЕ ЯРОСЛАВЛЬ БАНКА РОССИИ,,78,150000,г,Ярославль,"ул Комсомольская, 7",1994-01-20,12,3,1,7888001000,PSAC,,044525000,
ОТДЕЛЕНИЕ-НБ КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА БАНКА РОССИИ,,83,360000,г,Нальчик,"ул Головко, 2",1994-01-20,12,3,1,8327001000,PSAC,,040349001,
ОТДЕЛЕНИЕ-НБ КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА БАНКА РОССИИ,,91,369000,г,Черкесск,"ул Пушкинская, 84",1994-01-20,12,3,1,9133001000,PSAC,,040349001,
ОТДЕЛЕНИЕ-НБ РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ БАНКА РОССИИ,,90,362040,г,Владикавказ,"ул Куйбышева, 4",1994-01-20,12,3,1,9033001000,PSAC,,040349001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА АДЫГЕЯ БАНКА РОССИИ,,79,385000,г,Майкоп,"ул Ленина, 61",1994-01-20,12,3,1,7908001000,PSAC,,040349001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА АЛТАЙ БАНКА РОССИИ,,84,649000,г,Горно-Алтайск,"ул Чорос-Гуркина, 21",1994-01-20,12,3,1,8405001000,PSAC,,045004001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА БАШКОРТОСТАН БАНКА РОССИИ,,80,450008,г,Уфа,"ул Театральная, 3",1994-01-20,12,3,1,8073001000,PSAC,,046577001,
"АО ""Почта Банк""",RU,45,107061,г,Москва,"Преображенская пл., д. 8",2015-09-28,20,5,1,4525214000,PSAC,650,,"Joint-stock company ""Post Bank"" (JSC ""Post Bank"")"
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА ИНГУШЕТИЯ БАНКА РОССИИ,,26,386001,г,Магас,"ул А.Горчханова, 1",1994-01-20,12,3,1,2618001000,PSAC,,040349001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА КАЛМЫКИЯ БАНКА РОССИИ,,85,358000,г,Элиста,"ул Нейман, 3",1994-01-20,12,3,1,8580001000,PSAC,,040349001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА КАРЕЛИЯ БАНКА РОССИИ,,86,185910,г,Петрозаводск,"ул Германа Титова, 10",1994-01-20,12,3,1,8602001000,PSAC,,044030001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА КОМИ БАНКА РОССИИ,,87,167000,г,Сыктывкар,"ул Ленина, 53",1994-01-20,12,3,1,8702001000,PSAC,,044030001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА МАРИЙ ЭЛ БАНКА РОССИИ,,88,424000,г,Йошкар-Ола,"ул Палантая, 67",1994-01-20,12,3,1,8860001000,PSAC,,042202001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА МОРДОВИЯ БАНКА РОССИИ,,89,430005,г,Саранск,"ул. Коммунистическая, 32Б",1994-01-20,12,3,1,8952001000,PSAC,,042202001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА САХА (ЯКУТИЯ) БАНКА РОССИИ,,98,677027,г,Якутск,"ул Кирова, 17",1994-01-20,12,3,1,9805001000,PSAC,,040507001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА ТАТАРСТАН БАНКА РОССИИ,,92,420013,г,Казань,"ул Баумана, 37",1994-01-20,12,3,1,9205001000,PSAC,,042202001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА ТЫВА БАНКА РОССИИ,,93,667000,г,Кызыл,"ул Ленина, 23",1994-01-20,12,3,1,9304001000,PSAC,,045004001,
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА ХАКАСИЯ БАНКА РОССИИ,,95,655017,г,Абакан,"ул. Советская, 26, стр. 1",1994-01-20,12,3,1,9514001000,PSAC,,045004001,
ОТДЕЛЕНИЕ-НБ УДМУРТСКАЯ РЕСПУБЛИКА БАНКА РОССИИ,,94,426008,г,Ижевск,"ул Красноармейская, 159",1994-01-20,12,3,1,9401001000,PSAC,,042202001,
ОТДЕЛЕНИЕ-НБ ЧЕЧЕНСКАЯ РЕСПУБЛИКА БАНКА РОССИИ,,96,364020,г,Грозный,"Старопромысловское ш, 5",2011-07-01,12,3,1,9690001000,PSAC,,040349001,
ОТДЕЛЕНИЕ-НБ ЧУВАШСКАЯ РЕСПУБЛИКА БАНКА РОССИИ,,97,428032,г,Чебоксары,"ул Карла Маркса, 25",1994-01-20,12,3,1,9706001000,PSAC,,042202001,
"КУ БАНК ""ЦЕРИХ"" (ЗАО)-ГК ""АСВ""",RU,54,302030,г,Орёл,"ул Московская, 29",2016-04-29,90,1,0,5402719000,PSAC,3278,,
"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ АО ""УРИ БАНК""",RU,40,197374,г,Санкт-Петербург,"ул. Савушкина, д. 126, литера А, помещение 97-Н",2011-08-09,30,3,1,4030819000,PSAC,3479/1,044525163,AO WOORI BANK
Избирательная комиссия Кабардино-Балкарской Республики,RU,83,360000,г,Нальчик,"пр-т Ленина, 27",2000-01-01,99,3,1,8327001133,PSAC,,,
"ФИЛИАЛ АКБ ""СЛАВИЯ"" (АО) В Г. НИЖНИЙ НОВГОРОД",RU,22,603005,г,Нижний Новгород,"ул Ульянова, 7",2011-08-05,30,3,1,2202891000,PSAC,2664/4,044525318,
"ФИЛИАЛ АКБ ""СЛАВИЯ"" (АО) В Г. ПСКОВ",RU,58,180000,г,Псков,"ул Советская, 31",2007-10-22,30,3,1,5805755000,PSAC,2664/3,044525318,
"АКБ ""СЛАВИЯ"" (АО)",RU,45,117292,г,Москва,"ул. Кедрова, д. 5А",1994-07-13,20,5,1,4525318000,PSAC,2664,,"Joint Stock Commercial Bank ""SLAVIA"" (JSCB ""SLAVIA"")"
"ТВЕРСКОЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,28,170006,г,Тверь,"ул Дмитрия Донского, 37",2001-01-19,30,3,1,2809795000,PSAC,3349/19,044525111,
"АРХАНГЕЛЬСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,11,163000,г,Архангельск,"ул Карла Либкнехта, 34",2001-11-02,30,3,1,1117772000,PSAC,3349/48,044525111,
"ОРЛОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,54,302030,г,Орёл,"ул Московская, 31 лит А",2000-10-20,30,3,1,5402751000,PSAC,3349/10,044525111,
"КИРОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,33,610017,г,Киров,"ул Горького, 5",2001-02-02,30,3,1,3304787000,PSAC,3349/22,044525111,
"УЛЬЯНОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,73,432017,г,Ульяновск,"ул Минаева, 15, Секция 1",2005-07-21,30,3,1,7308897000,PSAC,3349/65,044525111,
"ПЕРМСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,57,614000,г,Пермь,"ул Ленина, 50",2008-03-14,30,3,1,5773897000,PSAC,3349/76,044525111,
"ЧУВАШСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,97,428032,г,Чебоксары,"Президентский б-р, 31",2000-10-27,30,3,1,9706752000,PSAC,3349/11,044525111,
"ВОРОНЕЖСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,20,394016,г,Воронеж,"Московский пр-т, 19 Б",2000-12-01,30,3,1,2007811000,PSAC,3349/14,044525111,
"ВЛАДИМИРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,17,600000,г,Владимир,"ул Б. Московская, 1 Б",2001-10-05,30,3,1,1708772000,PSAC,3349/41,044525111,
"ЯРОСЛАВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,78,150040,г,Ярославль,"ул Победы, 28 А",2003-07-17,30,3,1,7888717000,PSAC,3349/61,044525111,
"РФ АО ""Россельхозбанк"" - ""ЦРМБ""",RU,45,123100,г,Москва,"проезд Красногвардейский 1-й, дом 7, строен. 1",2016-06-14,30,3,1,4525430000,PSAC,3349/63,044525111,
"САНКТ-ПЕТЕРБУРГСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,40,191014,г,Санкт-Петербург,"ул Парадная, 5-1 лит А",2001-05-25,30,3,1,4030910000,PSAC,3349/35,044525111,Joint stock company Russian Agricultural Bank
"РЯЗАНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,61,390000,г,Рязань,"ул Свободы, 58",2002-09-06,30,3,1,6126793000,PSAC,3349/58,044525111,
"ОМСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,52,644099,г,Омск,"ул Фрунзе, 52",2000-10-27,30,3,1,5209822000,PSAC,3349/9,044525111,
ФИЛИАЛ АЙСИБИСИ БАНК (АО) В САНКТ-ПЕТЕРБУРГЕ,RU,40,191024,г,Санкт-Петербург,"ул. Херсонская, д. 12-14, лит. А",2016-07-27,30,3,1,4030824000,PSAC,3475/1,044525551,
"СМОЛЕНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,66,214014,г,Смоленск,"ул Твардовского, 2 В",2001-07-20,30,3,1,6614776000,PSAC,3349/43,044525111,
"ФИЛИАЛ БАНКА ""ВБРР"" (АО) В Г.САНКТ-ПЕТЕРБУРГЕ",RU,40,191015,г,Санкт-Петербург,"Воскресенская набережная, дом 6-8, литера А",2004-10-04,30,3,1,4030764000,PSAC,3287/6,044525880,
"ФИЛИАЛ АО КБ ""СИТИБАНК"" В Г.САНКТ-ПЕТЕРБУРГЕ",RU,40,191186,г,Санкт-Петербург,ул. Итальянская д.5,1996-02-23,30,3,1,4030765000,PSAC,2557/1,044525202,
"Филиал ""Сибирский"" АО ""РЕАЛИСТ БАНК""",RU,25,664007,г,Иркутск,"ул. Октябрьской Революции, д. 5",2019-03-05,30,3,1,2520780000,PSAC,1067/4,044525285,
"МАРИЙСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,88,424002,г,Йошкар-Ола,"ул Волкова, 116",2000-10-27,30,3,1,8860721000,PSAC,3349/16,044525111,
"НОВОСИБИРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,50,630007,г,Новосибирск,"ул Фабричная, 13",2001-03-12,30,3,1,5004784000,PSAC,3349/25,044525111,
"КОСТРОМСКОЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,34,156000,г,Кострома,"пр-т Мира, 6",2002-02-15,30,3,1,3469731000,PSAC,3349/51,044525111,
"ЧИТИНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,76,672039,г,Чита,"ул Александро-Заводская, 21",2001-11-16,30,3,1,7601740000,PSAC,3349/47,044525111,
избирательная комиссия Тверской области,RU,28,170100,г,Тверь,"площадь Святого Благоверного Князя Михаила Тверского, д.5, оф. 131",2000-01-01,99,1,0,2809001002,PSAC,,,
"АО ""Ури Банк""",RU,45,121099,г,Москва,"Новинский бульвар, дом 8",2007-12-20,20,3,1,4525163000,PSAC,3479,,AO Woori Bank
АО РОСЭКСИМБАНК,RU,45,123610,г,Москва,"Краснопресненская набережная, дом 12",1994-06-15,20,3,1,4525192000,PSAC,2790-Г,,State Specialized Russian Export-Import Bank (joint-stock company) (EXIMBANK OF RUSSIA)
"ФИЛИАЛ ""ИРКУТСКИЙ"" АО КБ ""СОЛИДАРНОСТЬ""",RU,25,664007,г,Иркутск,"ул Карла Маркса, 40",2016-10-26,30,3,1,2520777000,PSAC,554/9,043601706,
АО МС Банк Рус,RU,45,117485,г,Москва,"ул. Обручева, д. 30/1, стр. 2",1994-06-15,20,5,1,4525490000,PSAC,2789,,Joint-stock company MC Bank Rus (JSC MC Bank Rus)
ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. КИРОВЕ,RU,33,610005,г,Киров,"ул Мопра, 113 А",2011-04-13,30,3,1,3304705000,PSAC,1000/67,044525187,
"АО ""Тойота Банк""",RU,45,127273,г,Москва,"улица Отрадная, дом 2Б, строение 1",2007-07-12,20,5,1,4525630000,PSAC,3470,,AO Toyota Bank
"ООО НКО ""ЮМани""",RU,45,115035,г,Москва,"Садовническая улица, дом 82, строение 2",2012-09-24,20,5,1,4525444000,PSAC,3510-К,,
"АО ""МОСКОМБАНК""",RU,45,119146,г,Москва,"ул. 1-ая Фрунзенская, д. 5",1995-02-01,20,5,1,4525476000,PSAC,3172,,"Joint Stock Company ""Commercial Bank of Moscow"" (JSC MOSCOMBANK)"
"ООО ""банк Раунд""",RU,45,121609,г,Москва,"ш. Рублевское, д. 28",1994-01-20,20,5,1,4525739000,PSAC,2506,,"Limited liability company ""bank Round"" (LLC ""bank Round"")"
"ГК ""Агентство по страхованию вкладов""",RU,45,109240,г,Москва,"ул. Высоцкого, д.4",2016-02-08,20,3,1,4525051000,PSAC,,,
"АО АКБ ""Алеф-Банк""",RU,45,121467,г,Москва,"ул. Молдавская, д. 5",1994-01-20,20,5,1,4525268000,PSAC,2119,,Alef-Bank
"Ф-Л БАНКА ГПБ (АО) ""ПОВОЛЖСКИЙ""",RU,36,443068,г,Самара,"ул Ново-Садовая, 106 А, стр 1",2007-04-12,30,3,1,3601917000,PSAC,354/37,044525823,"""GAZPROMBANK"" (JOINT - STOCK COMPANY), POVOLZHSKY BRANCH"
Ф-Л БАНКА ГПБ (АО) В Г. КАЗАНИ,RU,92,420111,г,Казань,"ул. Пушкина, д.34а",2010-03-23,30,3,1,9205734000,PSAC,354/47,044525823,GAZPROMBANK (JOINT-STOCK COMPANY)(KAZAN BRANCH)
ОТДЕЛЕНИЕ КУРГАН БАНКА РОССИИ,,37,640002,г,Курган,"улица Климова, строение 58",1994-01-20,12,3,1,3735001000,PSAC,,046577001,
"НКО ""Альтернатива"" (ООО)",RU,45,107023,г,Москва,"ул. Малая Семеновская, д.1, стр. 1",2021-05-20,20,3,1,4525333000,PSAC,3452-К,,
ПУ БАНКА РОССИИ ИНСКОЕ,,50,630017,г,Новосибирск,"Территория Военного городка, здание 769",1994-01-20,40,3,1,5081002000,PSAC,,045004001,
"АНГАРСКИЙ ФИЛИАЛ АО ""ИТ БАНК""",RU,25,665835,г,Ангарск,"29-й мкр, 15 А помещение 2",2017-08-01,30,3,1,2520767000,PSAC,2609/1,045209702,
Банк ИПБ (АО),RU,45,115201,г,Москва,"Старокаширское шоссе, дом 2, корпус 1, строение 1",1994-01-20,20,5,1,4525402000,PSAC,600,,"""INTERPROGRESSBANK"" (Joint-stock company) (Bank IPB (JSC))"
ОТДЕЛЕНИЕ ОРЕНБУРГ БАНКА РОССИИ,,53,460000,г,Оренбург,"улица Ленинская, здание № 28",1994-01-20,12,3,1,5354001000,PSAC,,046577001,
РКЦ ОРСК,,53,462420,г,Орск,"улица Машиностроителей, здание 61",1994-01-20,10,3,1,5339000000,PSAC,,045354001,
УЛЬЯНОВСКОЕ ОТДЕЛЕНИЕ N8588 ПАО СБЕРБАНК,RU,73,432017,г,Ульяновск,"ул Гончарова, 40 А",1994-01-20,30,3,1,7308602000,PSAC,1481/1639,044525225,
УДМУРТСКОЕ ОТДЕЛЕНИЕ N8618 ПАО СБЕРБАНК,RU,94,426057,г,Ижевск,"ул Красная, 105",1994-05-10,30,3,1,9401601000,PSAC,1481/1625,044525225,
ОРЛОВСКОЕ ОТДЕЛЕНИЕ N8595 ПАО СБЕРБАНК,RU,54,302028,г,Орёл,"ул Брестская, 8",1994-01-20,30,3,1,5402601000,PSAC,1481/1067,044525225,
ПСКОВСКОЕ ОТДЕЛЕНИЕ N 8630 ПАО СБЕРБАНК,RU,58,180000,г,Псков,"Октябрьский пр-т, 23/25",1995-02-28,30,3,1,5805602000,PSAC,1481/1184,044525225,
БРЯНСКОЕ ОТДЕЛЕНИЕ N8605 ПАО СБЕРБАНК,RU,15,241050,г,Брянск,"пр-т Ленина, 10 Б",1994-07-13,30,3,1,1501601000,PSAC,1481/207,044525225,
ГОРНО-АЛТАЙСКОЕ ОТДЕЛЕНИЕ N8558 ПАО СБЕРБАНК,RU,84,649000,г,Горно-Алтайск,"ул Чаптынова, 2",1995-09-22,30,3,1,8405602000,PSAC,1481/1810,044525225,
ПЕНЗЕНСКОЕ ОТДЕЛЕНИЕ N8624 ПАО СБЕРБАНК,RU,56,440000,г,Пенза,"ул Суворова, 81",1994-05-30,30,3,1,5655635000,PSAC,1481/1100,044525225,
МОРДОВСКОЕ ОТДЕЛЕНИЕ N8589 ПАО СБЕРБАНК,RU,89,430005,г,Саранск,"ул Большевистская, 30",1994-11-15,30,3,1,8952615000,PSAC,1481/853,044525225,
ЧУВАШСКОЕ ОТДЕЛЕНИЕ N8613 ПАО СБЕРБАНК,RU,97,428032,г,Чебоксары,"Московский пр-т, 3",1994-11-15,30,3,1,9706609000,PSAC,1481/1747,044525225,
БЕЛГОРОДСКОЕ ОТДЕЛЕНИЕ N8592 ПАО СБЕРБАНК,RU,14,308000,г,Белгород,"Гражданский пр-т, 52",1994-05-30,30,3,1,1403633000,PSAC,1481/188,044525225,
ИВАНОВСКОЕ ОТДЕЛЕНИЕ N 8639 ПАО СБЕРБАНК,RU,24,153009,г,Иваново,"ул Лежневская, 159",1994-06-15,30,3,1,2406608000,PSAC,1481/412,044525225,
ТВЕРСКОЕ ОТДЕЛЕНИЕ N8607 ПАО СБЕРБАНК,RU,28,170100,г,Тверь,"ул Трёхсвятская, 8",1994-11-15,30,3,1,2809679000,PSAC,1481/1527,044525225,
КУРСКОЕ ОТДЕЛЕНИЕ N8596 ПАО СБЕРБАНК,RU,38,305004,г,Курск,"ул Ленина, 67",1994-01-20,30,3,1,3807606000,PSAC,1481/739,044525225,
ЛИПЕЦКОЕ ОТДЕЛЕНИЕ N8593 ПАО СБЕРБАНК,RU,42,398910,г,Липецк,"ул Первомайская, 2",1994-11-15,30,3,1,4206604000,PSAC,1481/782,044525225,
РЯЗАНСКОЕ ОТДЕЛЕНИЕ N 8606 ПАО СБЕРБАНК,RU,61,390000,г,Рязань,"ул Пожалостина, 19",1994-09-27,30,3,1,6126614000,PSAC,1481/1246,044525225,
СМОЛЕНСКОЕ ОТДЕЛЕНИЕ N8609 ПАО СБЕРБАНК,RU,66,214030,г,Смоленск,"ул. Нормандии-Неман, 23",1994-01-20,30,3,1,6614632000,PSAC,1481/1389,044525225,
ТАМБОВСКОЕ ОТДЕЛЕНИЕ N8594 ПАО СБЕРБАНК,RU,68,392036,г,Тамбов,"ул Карла Маркса, 130",1994-01-20,30,3,1,6850649000,PSAC,1481/1449,044525225,
ТУЛЬСКОЕ ОТДЕЛЕНИЕ N8604 ПАО СБЕРБАНК,RU,70,300000,г,Тула,"Крестовоздвиженская пл, 1",1994-01-20,30,3,1,7003608000,PSAC,1481/1558,044525225,
СЕВЕРО-ВОСТОЧНОЕ ОТДЕЛЕНИЕ N8645 ПАО СБЕРБАНК,RU,44,685000,г,Магадан,"ул Пушкина, 11/11",1994-01-20,30,3,1,4442607000,PSAC,1481/787,044525225,
НОВГОРОДСКОЕ ОТДЕЛЕНИЕ N 8629 ПАО СБЕРБАНК,RU,49,173025,г,Великий Новгород,"пр-т Мира, 32-1",1994-11-15,30,3,1,4959698000,PSAC,1481/960,044525225,
КАРЕЛЬСКОЕ ОТДЕЛЕНИЕ N8628 ПАО СБЕРБАНК,RU,86,185035,г,Петрозаводск,"ул Антикайнена, 2",1994-11-15,30,3,1,8602673000,PSAC,1481/512,044525225,
КЕМЕРОВСКОЕ ОТДЕЛЕНИЕ N8615 ПАО СБЕРБАНК,RU,32,650066,г,Кемерово,"Октябрьский пр-т, 53",1998-01-05,30,3,1,3207612000,PSAC,1481/528,044525225,
ОМСКОЕ ОТДЕЛЕНИЕ N 8634 ПАО СБЕРБАНК,RU,52,644024,г,Омск,"ул Маршала Жукова, 4, к 1",1994-01-20,30,3,1,5209673000,PSAC,1481/1009,044525225,
ТОМСКОЕ ОТДЕЛЕНИЕ N8616 ПАО СБЕРБАНК,RU,69,634061,г,Томск,"пр-т Фрунзе, 90/1",1994-01-20,30,3,1,6902606000,PSAC,1481/1535,044525225,
БУРЯТСКОЕ ОТДЕЛЕНИЕ N8601 ПАО СБЕРБАНК,RU,81,670031,г,Улан-Удэ,"ул Терешковой, 3 Б",1994-01-20,30,3,1,8142604000,PSAC,1481/230,044525225,
УРАЛЬСКИЙ БАНК ПАО СБЕРБАНК,RU,65,620026,г,Екатеринбург,"ул Куйбышева, 67",1994-11-15,30,3,1,6577674000,PSAC,1481/366,044525225,SBERBANK (URALSKY HEAD OFFICE)
Джей энд Ти Банк (АО),RU,45,115035,г,Москва,"Кадашевская набережная, дом  26",1995-02-01,20,5,1,4525588000,PSAC,3061,,"J&T Bank, a.o."
"РФ АО ""Россельхозбанк"" - ""ЦКБ""",RU,45,123100,г,Москва,"проезд Красногвардейский 1-й, дом 7, строен. 1",2017-04-03,30,3,1,4525720000,PSAC,3349/79,044525111,
"""Русьуниверсалбанк"" (ООО)",RU,45,105064,г,Москва,"Малый Казенный пер., д. 14, стр.1",1996-10-01,20,5,1,4525674000,PSAC,3293,,"""Russian Universal Bank"""
Ф-л Азиатско-Тихоокеанский Банк АО в г.Екат-г,RU,65,620133,г,Екатеринбург,"ул Луначарского, 57",2011-11-11,30,3,1,6577418000,PSAC,1810/22,041012765,
"ПАО АКБ ""Металлинвестбанк""",RU,45,119180,г,Москва,"ул. Большая Полянка, д. 47, строение 2",1994-01-20,20,5,1,4525176000,PSAC,2440,,"PUBLIC JOINT STOCK COMPANY STOCK COMMERCIAL BANK ""METALLURGICAL INVESTMENT BANK"" (PJSC SCB ""Metallinvestbank"")"
