bic	namep	rgn	ind	tnp	nnp	adr	prntbic	datein	pttype	srvcs	xchtype	uid	participantstatus	regn	cntrcd	account	regulationaccounttype	ck	accountcbrbic	accountstatus	englname	swbic	defaultswbic
044525694	КУ ОАО АКБ "ЛЕСБАНК"-ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-24	90	1	0	4525694000	PSAC	1598	RU	30101810645250000694	CRSA	82	044525000	ACAC			
044525465	КУ ОАО КБ "МАСТ-БАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-24	90	1	0	4525465000	PSAC	3267	RU	30101810845250000465	CRSA	96	044525000	ACAC			
044525660	КУ АКБ "МИРЪ" (АО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-02	90	1	0	4525660000	PSAC	3089	RU	30101810145250000660	CRSA	13	044525000	ACAC			
044525160	КУ АО АКБ "ГАЗСТРОЙБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-31	90	1	0	4525160000	PSAC	2919	RU	30101810645250000160	CRSA	14	044525000	ACAC			
044525165	КУ ПАО АКБ "РФА" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-30	90	1	0	4525165000	PSAC	2035	RU	30101810145250000165	CRSA	11	044525000	ACAC			
044525320	КУ АО "ТРОЙКА-Д БАНК" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		2003-03-14	90	1	0	4525320000	PSAC	3431	RU	30101810800000000320	CRSA	42	044525000	ACAC			
046577420	УРАЛЬСКИЙ ФИЛИАЛ ПАО КБ "ВОСТОЧНЫЙ"	65	620144	г	Екатеринбург	ул 8 Марта, 150	041012718	2015-10-05	30	3	1	6577420000	PSAC	1460/16	RU	30101810165770000420	CRSA	49	046577001	ACAC			
046015300	ЮЖНЫЙ ФИЛИАЛ ПАО КБ "ВОСТОЧНЫЙ"	60	344002	г	Ростов-на-Дону	пр-т Буденовский, д.21/50	041012718	2010-08-23	30	3	1	6015300000	PSAC	1460/15	RU	30101810300000000300	CRSA	76	046015001	ACAC			
018073401	УФК по Республике Башкортостан	80	450076	г	Уфа	ул Гоголя, 62		2021-01-05	52	3	1	8073001401	PSAC		RU	40102810045370000067	UTRA	20	048073001	ACAC			
043002717	"Муниципальный Камчатпрофитбанк" (АО)	30	683032	г	Петропавловск-Камчатский	ул Артиллерийская, 5/1		1992-10-13	20	3	1	3002717000	PSAC	2103	RU	30101810100000000717	CRSA	73	043002001	ACAC	"Municipal Kamchatprofitbank" (Joint - Stock Company)	MUKZRUP1XXX	1
042007707	КУ АО "БАНК ВОРОНЕЖ" - ГК "АСВ"	45	109240	г	Москва	г. Москва, ул. Высоцкого, 4		1991-05-08	90	1	0	2007707000	PSAC	654	RU	30101810500000000707	CRSA	83	042007001	ACAC			
044525686	КУ КБ "АРСЕНАЛ" ООО - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-08	90	1	0	4525686000	PSAC	3000	RU	30101810145250000686	CRSA	57	044525000	ACAC			
043601933	ГК "АСВ" - КУ ОАО "ВКБ"	45	127994	г	Москва	ГСП-4		1995-05-16	90	1	0	3601933000	PSAC	1153	RU	30101810000000000933	CRSA	97	043601001	ACAC			
